#{"t_start": 1695760609.580446, "env_id": null}
r,l,t
7.843137,59,2935.887359
9.803922,67,2937.193644
8.627451,64,2938.480609
4.313725,39,2939.36752
8.431373,60,2940.740951
4.901961,50,2941.895313
9.215687,63,2943.331305
9.215687,63,2944.735235
9.019608,69,2946.315624
9.019608,69,2947.88739
7.843137,57,2949.173676
9.019608,65,2950.673413
8.235294,62,2952.076517
9.411765,70,2983.359717
7.450981,57,2984.339787
9.215687,61,2985.395073
7.058824,63,2986.53026
9.803922,61,2987.673387
9.803922,65,2988.923759
5.882353,57,2990.102464
8.823529,66,2991.629837
5.490196,50,2992.789055
9.019608,66,2994.330698
9.803922,65,2995.912084
4.901961,47,2996.965586
6.666667,56,2998.225142
7.058824,62,2999.616227
9.803922,66,3001.119729
8.039216,53,3002.285062
9.411765,65,3003.697168
8.431373,59,3034.6457
4.313725,45,3035.465734
8.235294,55,3036.4004
8.823529,65,3037.567443
8.627451,67,3038.815832
8.235294,56,3039.890956
8.235294,70,3041.443796
8.627451,61,3042.838313
7.843137,55,3044.058963
8.039216,60,3045.414871
8.431373,58,3046.722548
6.666667,49,3047.838319
8.627451,59,3049.187591
9.803922,65,3050.674848
8.235294,67,3052.147472
8.235294,62,3053.536928
9.019608,58,3054.848012
5.882353,58,3085.7538
9.803922,63,3086.835808
9.803922,69,3088.049498
9.411765,70,3089.356657
9.215687,61,3090.504612
9.019608,59,3091.719831
9.607843,65,3093.173018
9.019608,62,3094.579119
9.411765,60,3095.992435
7.647059,61,3097.365208
7.450981,57,3098.667692
9.215687,70,3100.333865
9.803922,68,3101.873621
8.039216,53,3103.042242
9.803922,63,3104.446817
8.235294,58,3105.758528
8.039216,54,3136.520458
8.823529,59,3137.538494
7.843137,60,3138.565377
9.607843,68,3139.808111
9.215687,63,3141.011643
9.607843,61,3142.322403
7.254902,52,3143.499175
4.901961,54,3144.713405
9.019608,59,3146.015014
9.215687,61,3147.388707
8.235294,64,3148.896689
9.803922,70,3150.481951
8.039216,69,3152.02155
9.411765,68,3153.507811
9.607843,71,3155.136486
9.019608,59,3156.455539
7.058824,54,3187.268637
5.294118,46,3188.038447
9.215687,69,3189.260483
9.803922,65,3190.483487
9.607843,63,3191.858032
6.862745,62,3193.223124
9.607843,61,3194.552394
7.647059,58,3195.845734
6.470589,60,3197.2634
9.803922,69,3198.799696
7.647059,63,3200.186762
7.843137,54,3201.408634
9.803922,65,3202.885365
8.823529,71,3204.453159
7.647059,65,3205.922919
7.450981,52,3207.072641
8.235294,56,3208.331168
6.27451,50,3238.952125
9.019608,69,3240.13005
8.235294,60,3241.196842
9.803922,66,3242.423237
8.627451,69,3243.755574
8.235294,64,3245.171449
9.803922,70,3246.758185
6.666667,49,3247.843312
5.490196,44,3248.848114
9.607843,70,3250.426641
9.215687,65,3251.955099
7.843137,66,3253.449445
7.843137,58,3254.742922
8.627451,67,3256.254559
7.647059,64,3257.7632
9.411765,70,3259.321931
8.235294,59,3290.029776
6.862745,60,3291.058566
9.803922,65,3292.272621
8.431373,60,3293.396518
9.803922,69,3294.745179
9.411765,68,3296.26913
7.647059,54,3297.499851
8.431373,64,3298.97772
9.215687,70,3300.566664
9.215687,63,3302.002906
7.450981,63,3303.537152
9.803922,70,3305.117488
4.901961,46,3306.132493
8.235294,63,3307.529923
9.803922,63,3308.936039
9.803922,68,3340.076426
9.215687,62,3341.15725
7.647059,53,3342.107504
8.627451,60,3343.230431
8.431373,66,3344.455777
7.254902,58,3345.568074
7.450981,57,3346.767514
6.078432,57,3348.045026
5.490196,44,3349.041504
